headline,date,description
The Access Bank UK Limited expands international presence…,"Tuesday, 10 December 2024, 11:26","The Access Bank UK Limited proudly announces the establishment of its first fully owned subsidiary in Malta, The Access Bank Malta Limited. The subsidiary's banking license application has been..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
"Corinthia and Kuwaiti-based Action Real Estate Company 
join forces for luxury hotel","Tuesday, 3 December 2024, 18:52",The Corinthia Group has entered into an exciting partnership with Kuwaiti-based conglomerate Action Real Estate Company to explore investment opportunities for luxury hotels and real estate at prime...
Board and management meet to discuss APS Bank’s 2025-2027 business plan,"Tuesday, 3 December 2024, 18:47","APS Bank directors and senior management met offsite on 20 November 2024 to finalise their discussions on the 2025-2027 Business Plan. Held over a focused, full-day session, the event covered the..."
Excel Finance plc announces €50 million secured bond issue,"Tuesday, 3 December 2024, 18:40","Excel Finance p.l.c. today announced the launch of a €50 million secured bond issue with an annual interest rate of 5.4%, maturing in 2031. The bonds will be secured by a first ranking..."
Are you Planning a trip to Malta for the New Year? Discover the Most Entertaining Things to Do,"Tuesday, 3 December 2024, 14:47","Malta is one of those destinations that appeals to any type of traveler. It provides a charming atmosphere, inspiring natural scenery, and paradise beaches. It also has a fascinating culture and..."
Responsible Betting Initiatives Promoted by Maltese Betting Sites,"Tuesday, 3 December 2024, 11:42","It might have been one of the backbones of Maltese industry for years, but the online gambling industry has been under increasing scrutiny in recent years across Europe. The primary concern of this..."
Grant Thornton Team mobilised to help MSSP mission in Peru and Malta,"Tuesday, 3 December 2024, 11:10","For this  year's CSR Day activity, which took place on October 16, Grant Thornton joined  forces with The Missionary Society of St Paul (MSSP) at St Joseph Home in Sta  Venera, Malta to help tackle..."
The Malta Chamber and PwC Malta renew gold collaboration agreement,"Tuesday, 3 December 2024, 11:04","The Malta Chamber of Commerce, Enterprise and Industry and PwC Malta have renewed their gold collaboration agreement, underscoring their commitment to fostering business community growth and..."
The winners of the Malta International Business Awards 2024 announced,"Tuesday, 3 December 2024, 10:59","The highly anticipated Malta International Business Awards 2024 culminated in a prestigious gala dinner on 29 November at the Radisson BLU, Golden Sands, where Malta's top business leaders gathered to..."
KPMG in Malta unveil latest construction report at the Property Malta National Conference 2024,"Tuesday, 3 December 2024, 10:58","KPMG in Malta launched the 8th edition of the Construction Industry and Property Market report at the Building our Future | Property Malta National Conference 2024, on Tuesday 19 November..."
MFSA paves the way for the establishment and growth of Single Family Offices in Malta,"Tuesday, 3 December 2024, 10:57",The Malta Financial Services Authority is seeking to facilitate the establishment of Single Family Offices in Malta through amendments carried out to its framework. These are structures that are most...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
BOV advises customers to stay alert this holiday season,"Tuesday, 3 December 2024, 10:56","With the shopping season reaching its peak as Christmas approaches, Bank of Valletta continues to advise customers to be aware of the increasing attempts by scammers to obtain sensitive and personal..."
HSBC Malta Foundation champions sustainability during European Week for Waste Reduction,"Tuesday, 3 December 2024, 10:17","As part of the European Week for Waste Reduction (EWWR), HSBC Malta Foundation has undertaken five impactful initiatives to promote environmental responsibility and support the community. The..."
Building a secure cyber future: MITA-NCC’s role in advancing cybersecurity,"Sunday, 1 December 2024, 08:00","In its relentless pursuit of a secure cyber future, MITA through the National Coordination Centre MITA-NCC has been making significant progress in fulfilling its responsibilities assigned by the..."
TradeMalta led a business mission to strengthening commercial and cultural ties with Japan,"Friday, 29 November 2024, 18:53","TradeMalta recently led a successful business mission to Japan, aimed at strengthening commercial and cultural ties between the two nations. The mission, organized between the 10 and 16 November,..."
"Industry and University unite to drive a greener, congestion-free Malta","Friday, 29 November 2024, 18:51","Mizzi Studio's Regenerative Multimodal Transport System has been honoured with the prestigious Kamra Tal-Periti (KTP) Architecture Vision Award, recognising its ground-breaking approach to addressing..."
Atlas Insurance and Melita FC celebrate successful annual under-12 football festival,"Friday, 29 November 2024, 10:37","The fifth annual Atlas Under-12 Football Festival took place on the 23rd of November at the Melita FC Football Ground and Sports Complex in Pembroke, where young footballers enthusiastically..."
Zero emissions and COP29,"Friday, 29 November 2024, 09:57",Have we learnt any lessons from Malta's full-scale participation at COP29? The topic hardly touched our media and it seems that for the general public emissions control is a thing that does not...
BCRS Malta launches nationwide competition for students to name its mascot,"Thursday, 28 November 2024, 15:09",BCRS Malta is announcing the launch of a nationwide competition inviting students from across Malta to name the official mascot of the National Beverage Container Refund Scheme. This creative...
Digital Wallets vs. Crypto Wallets For Online Gaming In 2025,"Thursday, 28 November 2024, 12:00",Digital wallets and cryptocurrency wallets have transformed how people perform online payments on gaming platforms. These wallets each offer unique functionalities that meet user...
PKF Malta welcomes PKF global's strengthened presence in North America,"Wednesday, 27 November 2024, 15:14","PKF Malta is pleased to share that PKF O'Connor Davies, a key member of the PKF Global network and one of USA's largest accounting, tax, and advisory practices, has entered a private equity..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
FM17: Over 700 delegates to shape the future of Malta’s financial services,"Wednesday, 27 November 2024, 12:54",FinanceMalta has officially closed registrations for its 17th Annual Conference after surpassing expectations with over 700 delegates confirmed. This record turnout underscores the strong confidence...
Nestlé Malta to assume direct distribution of its Nestlè Purina pet food brands,"Tuesday, 26 November 2024, 15:20","Nestlé Malta is announcing that, as of January 2025, it will be directly managing the distribution of Nestlé Purina Pet Food brands in the Pet Shop channel which is currently being..."
Dr Marina Matashova concludes insightful visit to Malta,"Tuesday, 26 November 2024, 14:54","Quad Central, Malta's premier next-generation office development, recently hosted Dr Marina Matashova, a globally renowned expert in sustainable urban planning, to celebrate its remarkable achievement..."
